time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,att_phi,att_theta,att_psi,rate_p,rate_q,rate_r,rpm_obs_1,rpm_obs_2,rpm_obs_3,rpm_obs_4,rpm_ref_1,rpm_ref_2,rpm_ref_3,rpm_ref_4,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw
49.430275,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.107065,0.012939,0.023682,-1.471924,0.007080,-0.289795,-0.271729,7835,7993,7729,8060,7729,8478,7303,8139,6936,44,382,1119
49.432240,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.104235,0.012939,0.023926,-1.472656,0.024658,0.095947,-0.277588,7785,8035,7682,8067,7532,8338,7451,8322,6934,32,48,1183
49.434181,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.098072,0.013184,0.024658,-1.473145,0.051270,0.330566,-0.247314,7776,8084,7665,8096,7382,8248,7555,8447,6930,14,-186,1241
49.436134,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.101706,0.013184,0.024658,-1.473633,-0.004639,-0.069580,-0.218506,7718,8112,7637,8117,7560,8423,7342,8312,6932,54,164,1293
49.438095,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.104097,0.012939,0.023926,-1.473877,-0.048340,-0.248291,-0.210449,7695,8164,7597,8141,7652,8515,7218,8258,6934,88,345,1344
49.440044,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.098101,0.012939,0.024414,-1.474365,-0.031738,0.189697,-0.209961,7688,8200,7560,8171,7432,8335,7395,8469,6930,85,-48,1396
49.441998,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.093681,0.012939,0.024902,-1.474609,0.011475,0.300293,-0.182861,7667,8218,7560,8189,7339,8300,7451,8533,6927,60,-173,1442
49.443951,3.136719,0.726562,-1.105469,-0.019999,-0.039999,0.102261,0.012939,0.024658,-1.475098,-0.015625,-0.121826,-0.175293,7623,8251,7511,8224,7526,8496,7240,8377,6933,83,202,1487
49.445904,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.105684,0.012695,0.024414,-1.475342,-0.057373,-0.185059,-0.168457,7617,8288,7494,8248,7546,8509,7192,8398,6935,122,232,1531
49.447857,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.090843,0.012695,0.024902,-1.475830,-0.028564,0.247070,-0.158447,7576,8286,7463,8255,7320,8327,7373,8597,6925,108,-161,1574
49.449806,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.089643,0.012695,0.025391,-1.476074,-0.005615,0.255615,-0.150879,7551,8315,7424,8290,7284,8331,7379,8621,6924,97,-192,1616
49.451763,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.099627,0.012695,0.025391,-1.476318,0.000244,-0.040283,-0.145020,7548,8357,7416,8328,7400,8479,7242,8512,6931,95,62,1658
49.453716,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.099106,0.012695,0.025146,-1.476562,-0.059326,-0.154297,-0.123291,7532,8355,7393,8350,7468,8529,7148,8489,6931,140,181,1696
49.455669,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.089489,0.012451,0.025391,-1.476807,-0.038574,0.194336,-0.114746,7499,8366,7377,8376,7288,8385,7291,8650,6924,131,-134,1733
49.457626,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.093155,0.012695,0.025879,-1.477051,0.014160,0.259766,-0.111084,7483,8375,7353,8413,7221,8378,7339,8688,6928,96,-214,1769
49.459576,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.102854,0.012695,0.025879,-1.477295,0.046631,-0.033447,-0.100342,7455,8402,7361,8426,7327,8536,7216,8564,6934,70,42,1805
49.461529,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.096901,0.012695,0.025635,-1.477295,0.024170,-0.078613,-0.059326,7448,8412,7339,8441,7346,8560,7172,8551,6929,83,91,1831
49.463490,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.089308,0.012695,0.025879,-1.477295,0.034180,0.163086,-0.055176,7419,8412,7309,8464,7220,8462,7274,8661,6925,72,-127,1856
49.465435,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.096769,0.012939,0.026367,-1.477539,0.108887,0.209717,-0.068848,7385,8429,7300,8501,7155,8476,7326,8674,6930,13,-184,1884
49.467388,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.100883,0.013184,0.026611,-1.477539,0.109375,0.021973,-0.050781,7362,8433,7287,8507,7223,8573,7245,8600,6933,3,-24,1909
49.469341,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.092649,0.013184,0.026367,-1.477539,0.081543,-0.043945,-0.000732,7340,8444,7276,8532,7253,8602,7197,8571,6927,13,43,1922
49.471317,3.128906,0.726562,-1.105469,-0.019999,-0.019999,0.085308,0.013428,0.026611,-1.477539,0.075195,0.043701,-0.003418,7331,8458,7252,8555,7208,8567,7226,8607,6922,11,-29,1934
